timestamp,temperature_c,temperature_f,humidity,soil_moisture,lux,ph,soil_moisture_1,soil_temp,conductivity,nitrogen,phosphorus,potassium,heater,water_pump,nutrients_pump,mister,white_light,LED_light,live_stream
2025-04-27T18:09:55.096348,24.0,75.2,41.0,45.75,35,5.78,13.4,19.8,551,39,55,110,off,off,off,on,off,0,on
2025-04-27T18:09:56.400639,24.2,75.56,41.0,45.75,35,5.84,13.4,19.8,551,39,55,110,off,off,off,on,off,0,on
2025-04-27T18:09:57.714896,24.2,75.56,41.0,45.45,37,5.86,13.4,19.8,551,39,55,110,off,off,off,on,off,0,on
2025-04-27T18:09:59.012017,24.2,75.56,41.0,45.45,37,5.86,13.5,19.8,550,39,55,110,off,off,off,on,off,0,on
2025-04-27T18:10:00.266956,24.2,75.56,41.0,45.75,36,5.86,13.4,19.8,550,39,55,110,off,off,off,on,off,0,on
2025-04-27T18:10:01.577110,24.4,75.92,41.0,45.75,36,5.85,13.4,19.8,547,39,54,109,off,off,off,on,off,0,on
2025-04-27T18:10:02.883997,24.4,75.92,41.0,45.65,37,5.86,13.4,19.8,551,39,55,110,off,off,off,on,off,0,on
2025-04-27T18:10:04.172824,24.5,76.1,41.0,45.65,37,5.85,13.4,19.8,542,38,54,108,off,off,off,on,off,0,on
2025-04-27T18:10:05.454413,24.5,76.1,41.0,45.55,37,5.85,13.4,19.8,550,39,55,110,off,off,off,on,off,0,on
2025-04-27T18:10:06.699843,24.5,76.1,41.0,45.55,37,5.84,13.4,19.8,542,38,54,108,off,off,off,on,off,0,on
2025-04-27T18:10:07.985285,24.7,76.46000000000001,41.0,45.55,37,5.84,13.4,19.8,551,39,55,110,off,off,off,on,off,0,on
2025-04-27T18:10:09.267660,24.2,75.56,41.0,45.55,37,5.84,13.3,19.8,551,39,55,110,off,off,off,on,off,0,on
2025-04-27T18:10:10.549199,24.4,75.92,41.0,45.45,32,5.83,13.4,19.8,551,39,55,110,off,off,off,on,off,0,on
2025-04-27T18:10:11.826682,24.4,75.92,41.0,45.45,32,5.84,13.4,19.8,551,39,55,110,off,off,off,on,off,0,on
2025-04-27T18:10:13.087944,24.5,76.1,41.0,45.65,31,5.84,13.4,19.8,545,38,54,109,off,off,off,on,off,0,on
2025-04-27T18:10:14.379847,24.5,76.1,41.0,45.65,31,5.84,13.4,19.8,549,39,54,109,off,off,off,on,off,0,on
2025-04-27T18:10:15.676007,24.7,76.46000000000001,41.0,45.55,30,5.84,13.4,19.8,551,38,54,108,off,off,off,on,off,0,on
2025-04-27T18:10:16.933957,24.4,75.92,41.0,45.55,30,5.85,13.3,19.8,550,39,55,110,off,off,off,on,off,0,on
2025-04-27T18:10:18.238906,24.0,75.2,41.0,45.55,31,5.84,13.4,19.8,550,39,55,110,off,off,off,on,off,0,on
2025-04-27T18:10:19.488972,24.0,75.2,40.0,45.55,31,5.84,13.4,19.8,542,38,54,108,off,off,off,on,off,0,on
2025-04-27T18:10:20.809532,24.9,76.82,40.0,45.36,31,5.84,13.4,19.8,547,39,54,109,off,off,off,on,off,0,on
2025-04-27T18:10:22.076204,24.9,76.82,40.0,45.36,31,5.85,13.4,19.8,538,38,53,107,off,off,off,on,off,0,on
2025-04-27T18:10:23.357042,24.0,75.2,40.0,46.04,33,5.85,13.3,19.8,550,39,55,110,off,off,off,on,off,0,on
2025-04-27T18:10:24.657590,24.6,76.28,40.0,46.04,33,5.86,13.4,19.8,550,38,54,108,off,off,off,on,off,0,on
2025-04-27T18:10:25.942849,24.6,76.28,40.0,46.04,33,5.85,13.4,19.8,550,39,55,110,off,off,off,on,off,0,on
2025-04-27T18:10:27.264476,24.3,75.74000000000001,40.0,46.04,33,5.84,13.4,19.8,551,38,54,108,off,off,off,on,off,0,on
2025-04-27T18:10:28.590558,24.3,75.74000000000001,40.0,46.04,32,5.84,13.4,19.8,552,39,55,110,off,off,off,on,off,0,on
2025-04-27T18:10:29.852761,24.9,76.82,41.0,46.04,32,5.83,13.4,19.8,552,38,54,108,off,off,off,on,off,0,on
2025-04-27T18:10:31.145976,24.9,76.82,41.0,46.24,32,5.83,13.4,19.8,549,39,54,109,off,off,off,on,off,0,on
2025-04-27T18:10:32.424468,24.2,75.56,41.0,46.24,32,5.84,13.3,19.8,550,39,55,110,off,off,off,on,off,0,on
2025-04-27T18:10:33.736432,24.7,76.46000000000001,41.0,45.85,32,5.84,13.4,19.8,544,38,54,108,off,off,off,on,off,0,on
2025-04-27T18:10:34.993789,24.7,76.46000000000001,41.0,45.85,32,5.84,13.3,19.8,549,39,54,109,off,off,off,on,off,0,on
2025-04-27T18:10:36.255534,24.9,76.82,41.0,46.04,32,5.84,13.3,19.8,539,38,53,107,off,off,off,on,off,0,on
2025-04-27T18:10:37.559609,24.3,75.74000000000001,41.0,46.04,32,5.84,13.4,19.8,550,39,55,110,off,off,off,on,off,0,on
2025-04-27T18:10:38.842852,24.3,75.74000000000001,41.0,46.14,32,5.84,13.4,19.8,551,38,54,109,off,off,off,on,off,0,on
2025-04-27T18:10:40.137023,24.6,76.28,40.0,46.14,32,5.84,13.4,19.8,549,39,54,109,off,off,off,on,off,0,on
2025-04-27T18:10:41.441204,24.6,76.28,40.0,45.94,32,5.84,13.3,19.8,552,39,55,110,off,off,off,on,off,0,on
2025-04-27T18:10:42.752630,24.8,76.64,40.0,45.94,32,5.84,13.4,19.8,549,39,54,109,off,off,off,on,off,0,on
2025-04-27T18:10:44.065516,24.8,76.64,40.0,45.94,31,5.83,13.4,19.8,550,39,54,109,off,off,off,on,off,0,on
2025-04-27T18:10:45.401018,24.0,75.2,40.0,45.94,31,5.83,13.4,19.8,551,39,55,110,off,off,off,on,off,0,on
2025-04-27T18:10:46.704337,24.7,76.46000000000001,40.0,45.85,32,5.84,13.3,19.8,545,38,54,109,off,off,off,on,off,0,on
2025-04-27T18:10:47.989213,24.0,75.2,40.0,45.85,32,5.84,13.4,19.8,551,39,55,110,off,off,off,on,off,0,on
2025-04-27T18:10:49.238016,24.9,76.82,40.0,46.14,34,5.84,13.3,19.8,550,38,54,108,off,off,off,on,off,0,on
2025-04-27T18:10:50.498880,24.9,76.82,40.0,46.14,34,5.84,13.4,19.8,551,39,55,110,off,off,off,on,off,0,on
2025-04-27T18:10:51.833961,24.6,76.28,40.0,46.04,32,5.84,13.4,19.8,550,39,55,110,off,off,off,on,off,0,on
2025-04-27T18:10:53.085921,24.2,75.56,40.0,46.04,32,5.8,13.3,19.8,550,39,55,110,off,off,off,on,off,0,on
2025-04-27T18:10:54.404421,24.6,76.28,40.0,45.94,40,5.82,13.4,19.8,551,39,55,110,off,off,off,on,off,0,on
2025-04-27T18:10:55.676455,24.7,76.46000000000001,40.0,45.94,40,5.84,13.4,19.8,545,38,54,109,off,off,off,on,off,0,on
2025-04-27T18:10:56.935526,24.7,76.46000000000001,40.0,45.75,41,5.84,13.3,19.8,551,39,55,110,off,off,off,on,off,0,on
2025-04-27T18:10:58.233348,24.7,76.46000000000001,40.0,45.75,41,5.83,13.4,19.8,551,38,54,109,off,off,off,on,off,0,on
2025-04-27T18:10:59.489551,24.9,76.82,40.0,45.94,35,5.82,13.4,19.8,551,39,55,110,off,off,off,on,off,0,on
2025-04-27T18:11:00.770400,24.9,76.82,40.0,45.94,35,5.83,13.3,19.8,550,39,55,110,off,off,off,on,off,0,on
2025-04-27T18:11:02.076131,24.8,76.64,40.0,45.94,33,5.82,13.4,19.8,549,39,54,109,off,off,off,on,off,0,on
2025-04-27T18:11:03.354357,24.2,75.56,40.0,45.94,33,5.82,13.3,19.8,551,39,55,110,off,off,off,on,off,0,on
2025-04-27T18:11:04.664734,24.8,76.64,40.0,45.94,33,5.84,13.4,19.8,545,38,54,109,off,off,off,on,off,0,on
2025-04-27T18:11:06.017349,24.8,76.64,40.0,45.94,33,5.84,13.3,19.8,551,39,55,110,off,off,off,on,off,0,on
2025-04-27T18:11:07.297162,24.0,75.2,40.0,45.94,32,5.86,13.4,19.8,549,39,54,109,off,off,off,on,off,0,on
2025-04-27T18:11:08.623235,24.0,75.2,40.0,45.94,32,5.86,13.4,19.8,551,38,54,109,off,off,off,on,off,0,on
2025-04-27T18:11:09.916421,24.1,75.38,40.0,45.55,32,5.86,13.5,19.8,549,39,54,109,off,off,off,on,off,0,on
2025-04-27T18:11:11.193061,24.0,75.2,40.0,45.55,32,5.85,13.4,19.8,550,39,55,110,off,off,off,on,off,0,on
2025-04-27T18:11:12.487185,24.5,76.1,40.0,46.04,33,5.84,13.4,19.8,551,39,55,110,off,off,off,on,off,0,on
2025-04-27T18:11:13.780637,24.4,75.92,40.0,46.04,33,5.85,13.4,19.8,551,39,55,110,off,off,off,on,off,0,on
2025-04-27T18:11:15.105245,24.4,75.92,40.0,46.24,33,5.85,13.4,19.8,550,39,55,110,off,off,off,on,off,0,on
2025-04-27T18:11:16.383234,24.0,75.2,40.0,46.24,33,5.85,13.4,19.8,550,39,55,110,off,off,off,on,off,0,on
2025-04-27T18:11:17.667695,24.6,76.28,40.0,46.04,33,5.85,13.4,19.8,545,38,54,109,off,off,off,on,off,0,on
2025-04-27T18:11:18.965592,24.2,75.56,40.0,46.04,33,5.85,13.4,19.8,550,39,55,110,off,off,off,on,off,0,on
2025-04-27T18:11:20.264022,24.4,75.92,40.0,45.85,32,5.86,13.4,19.8,545,38,54,109,off,off,off,on,off,0,on
2025-04-27T18:11:21.533306,24.6,76.28,40.0,45.85,32,5.86,13.3,19.8,549,39,54,109,off,off,off,on,off,0,on
2025-04-27T18:11:22.807347,24.8,76.64,40.0,46.24,32,5.84,13.4,19.8,550,38,54,108,off,off,off,on,off,0,on
2025-04-27T18:11:24.087002,24.0,75.2,40.0,46.24,32,5.85,13.3,19.8,548,39,54,109,off,off,off,on,off,0,on
2025-04-27T18:11:25.341152,24.4,75.92,40.0,46.14,32,5.84,13.4,19.8,549,39,54,109,off,off,off,on,off,0,on
2025-04-27T18:11:26.618991,24.6,76.28,40.0,46.14,32,5.84,13.4,19.8,547,39,54,109,off,off,off,on,off,0,on
2025-04-27T18:11:27.896013,24.4,75.92,40.0,46.33,32,5.84,13.4,19.8,551,39,55,110,off,off,off,on,off,0,on
2025-04-27T18:11:29.173432,24.6,76.28,40.0,46.33,32,5.86,13.4,19.8,550,38,54,109,off,off,off,on,off,0,on
2025-04-27T18:11:30.436817,24.9,76.82,41.0,46.24,32,5.86,13.4,19.8,546,39,54,109,off,off,off,on,off,0,on
2025-04-27T18:11:31.712190,24.6,76.28,41.0,46.24,32,5.86,13.4,19.8,551,39,55,110,off,off,off,on,off,0,on
2025-04-27T18:11:32.977334,24.0,75.2,41.0,45.45,32,5.84,13.4,19.8,545,38,54,109,off,off,off,on,off,0,on
2025-04-27T18:11:34.257104,24.5,76.1,41.0,45.45,32,5.84,13.4,19.8,549,39,54,109,off,off,off,on,off,0,on
2025-04-27T18:11:35.560362,24.5,76.1,41.0,46.33,31,5.85,13.4,19.8,550,38,53,107,off,off,off,on,off,0,on
2025-04-27T18:11:36.808572,24.6,76.28,41.0,46.33,31,5.85,13.4,19.8,549,39,54,109,off,off,off,on,off,0,on
2025-04-27T18:11:38.195221,24.6,76.28,41.0,46.43,32,5.85,13.4,19.8,551,39,54,109,off,off,off,on,off,0,on
2025-04-27T18:11:39.504424,24.6,76.28,41.0,46.43,32,5.85,13.4,19.8,549,39,54,109,off,off,off,on,off,0,on
2025-04-27T18:11:40.814360,24.7,76.46000000000001,41.0,46.24,33,5.85,13.4,19.8,542,38,54,108,off,off,off,on,off,0,on
2025-04-27T18:11:42.124357,24.7,76.46000000000001,41.0,46.24,33,5.85,13.2,19.8,549,39,54,109,off,off,off,on,off,0,on
2025-04-27T18:11:43.416531,24.8,76.64,41.0,45.94,33,5.85,13.4,19.8,545,38,54,109,off,off,off,on,off,0,on
